연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름,인구,온열,여름온열,여름온열률10만
2023,충청남도 서산시,8795.6,2200.6,300.0,81.5,473.3,121.3,8683.7,2172.1,176011.0,18,16,9.090340944600053
2023,충청남도 서천군,684.1,174.3,73.6,19.0,125.4,31.6,615.3,160.8,49116.0,5,5,10.179982083231533
2023,충청남도 아산시,11207.9,2903.3,582.3,160.3,755.2,196.5,10906.0,2826.9,345796.0,19,19,5.494569052273595
2023,충청남도 예산군,803.1,198.3,125.3,33.3,204.1,50.7,757.3,187.7,78354.0,31,30,38.28777088597902
2023,충청남도 천안시,5427.3,1431.5,1089.6,295.4,1645.2,434.7,5256.1,1387.7,655959.0,27,25,3.811213810619261
2023,충청남도 청양군,130.9,32.2,39.9,10.0,62.8,14.6,120.1,29.6,30168.0,7,4,13.259082471492974
2023,충청남도 태안군,391.1,86.5,86.4,22.2,239.5,60.3,20.6,5.3,60784.0,3,3,4.935509344564359
2023,충청남도 홍성군,341.2,86.0,164.1,43.8,237.2,61.0,296.9,74.3,97524.0,19,15,15.380829334317708
2023,충청북도 괴산군,251.6,62.6,53.4,13.3,117.2,29.1,238.2,59.5,36590.0,6,6,16.39792292976223
2023,충청북도 단양군,1721.5,414.6,38.9,9.8,87.0,20.2,1690.3,406.9,27701.0,3,3,10.829933937402982
2023,충청북도 보은군,171.9,41.9,45.5,11.4,80.7,18.4,156.6,38.2,31010.0,8,8,25.798129635601416
2023,충청북도 영동군,161.8,39.9,64.3,16.1,93.9,22.9,136.4,33.7,44195.0,4,4,9.050797601538635
2023,충청북도 옥천군,348.2,85.5,70.2,17.7,117.8,28.6,186.0,45.5,48891.0,5,5,10.226831114110981
2023,충청북도 음성군,2592.8,661.9,157.5,41.5,338.3,83.8,2523.1,644.7,91183.0,22,19,20.837217463781627
2023,충청북도 제천시,928.6,230.4,195.5,49.8,317.1,75.6,847.8,211.7,130194.0,18,18,13.825521913452231
2023,충청북도 증평군,355.5,94.5,60.1,16.1,91.8,22.2,319.5,85.6,37484.0,3,3,8.003414790310533
2023,충청북도 진천군,2353.4,623.4,146.4,39.5,311.3,79.8,2307.3,612.4,86254.0,20,16,18.549864354116913
2023,충청북도 청주시,9820.9,2570.0,1389.6,382.7,2035.2,539.3,9301.8,2440.1,852189.0,53,51,5.984587925917842
2023,충청북도 충주시,1595.3,405.1,339.8,90.3,561.0,140.7,1462.4,372.3,207778.0,9,9,4.331546169469338
2024,강원특별자치도 강릉시,822.7,203.2,357.7,98.2,674.4,179.4,641.6,153.7,207731.0,27,27,12.997578599246141
2024,강원특별자치도 고성군,60.9,15.6,43.3,11.1,184.2,48.4,37.0,9.6,26999.0,3,3,11.111522648987
2024,강원특별자치도 동해시,1284.4,313.6,147.7,39.7,242.7,62.9,1166.2,288.0,87675.0,12,12,13.686911890504705
2024,강원특별자치도 삼척시,1134.6,278.4,102.1,26.4,183.4,47.7,748.6,176.2,61735.0,9,9,14.57844010690856
2024,강원특별자치도 속초시,75.4,19.6,147.4,40.6,329.8,91.3,52.6,13.6,80933.0,8,8,9.884719459305845
2024,강원특별자치도 양구군,19.6,4.6,30.5,7.6,96.0,22.5,7.1,1.7,20621.0,3,3,14.548276029290529
2024,강원특별자치도 양양군,47.7,11.9,49.5,13.1,175.9,45.1,30.5,7.3,27489.0,6,6,21.826912583215105
2024,강원특별자치도 영월군,783.4,187.2,59.2,14.7,100.0,24.6,719.3,171.4,36721.0,1,1,2.723237384602816
2024,강원특별자치도 원주시,819.5,205.7,633.1,163.5,954.0,247.4,709.8,177.3,362164.0,10,8,2.208944014313957
2024,강원특별자치도 인제군,38.1,9.0,48.9,12.3,169.7,41.1,13.2,3.2,31535.0,6,5,15.855398763278897
