"행정구역(동읍면)별","5세별","항목","단위","2020 년","2021 년","2022 년","2023 년","2024 년","2025 년",
"광진구","100+","남자인구수[명]","명","54","12","13","13","13","13",
"광진구","100+","여자인구수[명]","명","164","38","29","30","34","30",
"동대문구","0 - 4세","남자인구수[명]","명","4853","4423","4094","4016","3819","4265",
"동대문구","0 - 4세","여자인구수[명]","명","4664","4282","4049","3924","3674","3982",
"동대문구","5 - 9세","남자인구수[명]","명","5809","5609","5412","5282","4888","4643",
"동대문구","5 - 9세","여자인구수[명]","명","5462","5276","5087","5080","4793","4614",
"동대문구","10 - 14세","남자인구수[명]","명","5661","5617","5599","5587","5533","5502",
"동대문구","10 - 14세","여자인구수[명]","명","5397","5288","5235","5214","5146","5263",
"동대문구","15 - 19세","남자인구수[명]","명","6305","5950","5980","5901","5780","5975",
"동대문구","15 - 19세","여자인구수[명]","명","6284","5912","5920","5905","5811","5878",
"동대문구","20 - 24세","남자인구수[명]","명","12053","11615","11536","11368","11057","10660",
"동대문구","20 - 24세","여자인구수[명]","명","13978","14090","14116","14343","13977","13483",
"동대문구","25 - 29세","남자인구수[명]","명","15925","15891","15585","15637","15025","15055",
"동대문구","25 - 29세","여자인구수[명]","명","14375","14675","14992","15524","15484","15853",
"동대문구","30 - 34세","남자인구수[명]","명","12658","12690","13011","13778","14110","15003",
"동대문구","30 - 34세","여자인구수[명]","명","11777","12102","12396","12920","13391","14690",
"동대문구","35 - 39세","남자인구수[명]","명","13259","12506","11989","11694","11555","12469",
"동대문구","35 - 39세","여자인구수[명]","명","12481","11725","11171","11070","11089","11793",
"동대문구","40 - 44세","남자인구수[명]","명","12588","12659","12864","13218","12728","12641",
"동대문구","40 - 44세","여자인구수[명]","명","11696","11835","11972","12558","12011","12044",
"동대문구","45 - 49세","남자인구수[명]","명","13536","12606","12078","11850","11558","11787",
"동대문구","45 - 49세","여자인구수[명]","명","12810","11902","11494","11069","10956","11307",
"동대문구","50 - 54세","남자인구수[명]","명","13733","13732","13678","13796","13371","13168",
"동대문구","50 - 54세","여자인구수[명]","명","13386","13518","13460","13616","13144","12916",
"동대문구","55 - 59세","남자인구수[명]","명","13121","12759","12428","12717","12811","13151",
"동대문구","55 - 59세","여자인구수[명]","명","13022","12234","12031","12411","12588","13053",
"동대문구","60 - 64세","남자인구수[명]","명","12870","12968","12891","12771","12472","12265",
"동대문구","60 - 64세","여자인구수[명]","명","13522","13527","13321","13110","12650","12294",
"동대문구","65 - 69세","남자인구수[명]","명","9530","10075","10377","10867","11286","11583",
"동대문구","65 - 69세","여자인구수[명]","명","10471","10962","11225","11808","12214","12608",
"동대문구","70 - 74세","남자인구수[명]","명","7148","6920","7056","7262","7597","8181",
"동대문구","70 - 74세","여자인구수[명]","명","8467","8109","8386","8369","8708","9534",
"동대문구","75 - 79세","남자인구수[명]","명","5589","5403","5424","5495","5676","5855",
