연도,key,산업용,산업용여름,주택용,주택용여름,일반용,일반용여름,제조업,제조업여름
2025,강원특별자치도 고성군,59.1,15.1,43.3,11.1,196.6,51.9,33.7,8.6
2025,강원특별자치도 동해시,1158.8,276.5,149.2,40.3,247.3,64.3,1035.2,251.7
2025,강원특별자치도 삼척시,974.9,211.4,101.4,26.6,181.7,47.6,634.6,140.4
2025,강원특별자치도 속초시,75.5,19.2,147.9,40.8,337.2,92.8,52.0,13.2
2025,강원특별자치도 양구군,19.8,4.9,30.6,7.8,101.4,22.9,7.6,2.1
2025,강원특별자치도 양양군,44.4,11.1,49.3,13.0,188.7,48.4,27.3,6.7
2025,강원특별자치도 영월군,704.7,162.4,59.7,15.1,105.9,26.3,640.5,146.1
2025,강원특별자치도 원주시,803.6,201.1,656.0,176.9,982.8,254.2,692.4,173.2
2025,강원특별자치도 인제군,38.7,9.0,49.2,12.4,178.7,42.7,12.9,3.1
2025,강원특별자치도 정선군,190.3,49.2,56.0,13.4,226.8,56.8,162.8,42.6
2025,강원특별자치도 철원군,60.0,13.9,59.0,15.2,187.8,45.5,32.0,7.4
2025,강원특별자치도 춘천시,252.1,66.9,495.4,137.4,971.1,255.1,141.0,38.9
2025,강원특별자치도 태백시,77.1,17.8,61.5,14.3,118.0,25.5,25.7,5.7
2025,강원특별자치도 평창군,87.2,21.3,72.2,17.4,272.5,59.4,40.2,10.1
2025,강원특별자치도 홍천군,119.4,31.5,109.3,28.5,301.3,78.5,86.0,23.0
2025,강원특별자치도 화천군,24.5,5.7,33.5,8.5,135.5,31.4,6.6,1.6
2025,강원특별자치도 횡성군,270.2,70.8,74.7,19.1,151.7,37.4,227.8,60.4
2025,경기도 가평군,92.5,22.7,105.1,28.2,420.1,100.6,52.7,13.0
2025,경기도 고양시,844.9,213.5,1712.9,503.0,2425.6,646.3,320.8,75.1
2025,경기도 과천시,49.8,13.2,145.3,43.5,351.6,96.1,1.6,0.4
2025,경기도 광명시,285.1,78.4,424.6,122.5,463.1,121.7,241.1,66.8
2025,경기도 광주시,1082.6,260.1,685.3,191.9,947.5,240.8,901.5,213.6
2025,경기도 구리시,129.2,33.2,311.9,92.3,407.4,112.7,30.0,7.6
2025,경기도 군포시,559.9,144.0,409.3,113.6,506.2,135.4,363.4,94.4
2025,경기도 김포시,2122.7,498.2,882.2,241.4,1225.2,325.1,1986.3,460.6
2025,경기도 남양주시,939.7,232.7,1238.8,346.1,1339.2,348.7,491.9,117.4
2025,경기도 동두천시,212.9,53.6,146.2,41.8,248.4,63.9,146.7,35.7
2025,경기도 부천시,1583.0,414.3,1299.1,378.9,1478.7,401.4,1410.5,372.0
2025,경기도 성남시,870.8,236.5,1582.4,464.8,3371.9,949.7,349.4,100.3
2025,경기도 수원시,671.6,182.0,2112.5,618.0,3536.8,979.3,524.7,143.8
2025,경기도 시흥시,2807.0,702.6,946.5,275.5,1165.7,313.0,2656.5,664.6
2025,경기도 안산시,5290.8,1386.5,1096.1,320.5,1381.4,371.2,5015.1,1318.1
2025,경기도 안성시,2126.0,557.1,357.2,99.2,801.6,209.5,2052.1,537.5
2025,경기도 안양시,427.4,112.6,951.1,272.3,1874.3,508.1,292.0,77.4
2025,경기도 양주시,1017.1,237.6,528.8,150.0,712.5,182.3,912.4,211.6
2025,경기도 양평군,125.4,31.0,214.4,55.7,349.4,83.9,27.1,6.6
2025,경기도 여주시,522.4,127.6,186.6,51.1,451.2,117.9,452.1,109.7
2025,경기도 연천군,210.5,52.9,66.0,17.6,179.8,44.1,137.3,34.1
2025,경기도 오산시,586.7,153.5,463.1,134.3,551.1,150.2,513.7,135.4
2025,경기도 용인시,5249.3,1397.3,1880.8,528.3,3401.2,916.6,4260.8,1145.7
2025,경기도 의왕시,143.5,36.7,274.2,77.6,533.3,143.0,107.9,27.2
2025,경기도 의정부시,237.5,59.6,786.7,221.7,836.5,223.0,47.1,11.9
2025,경기도 이천시,4386.5,1126.4,379.3,106.8,1043.4,276.7,4270.2,1097.4
2025,경기도 파주시,6129.6,1600.4,937.2,275.4,1369.3,349.7,5916.6,1545.7
2025,경기도 평택시,19358.6,5124.7,1199.0,345.8,2114.2,576.1,18570.9,4934.8
2025,경기도 포천시,1479.4,343.6,223.1,60.5,622.5,152.9,1367.7,316.7
2025,경기도 하남시,542.1,141.9,614.4,183.5,857.6,238.1,74.8,19.1
2025,경기도 화성시,15759.5,4110.5,1851.2,527.0,3226.9,871.0,15421.3,4022.4
2025,경상남도 거제시,1197.2,336.9,418.7,114.6,505.7,136.6,1112.1,315.0
2025,경상남도 거창군,105.4,27.9,90.9,23.5,130.1,31.5,87.0,23.2
2025,경상남도 고성군,343.1,77.4,74.1,19.1,120.6,30.3,161.1,44.9
2025,경상남도 김해시,3162.0,775.7,924.5,268.3,1142.2,315.6,2892.4,704.7
2025,경상남도 남해군,18.8,4.7,54.7,14.1,128.7,33.7,5.4,1.3
